fdc_id,description_en,description_de
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor","Snacks, auf Maisbasis, extrudiert, Chips, Barbecue-Geschmack"
167539,"Snacks, corn-based, extruded, cones, plain","Snacks, auf Maisbasis, extrudiert, Zapfen, natur"
167540,"Snacks, fruit leather, pieces","Snacks, Fruchtleder, Stücke"
167541,"Snacks, fruit leather, rolls","Snacks, Fruchtleder, Brötchen"
167542,"Snacks, granola bars, hard, plain","Snacks, Müsliriegel, hart, schlicht"
167543,"Snacks, granola bars, hard, almond","Snacks, Müsliriegel, hart, Mandel"
167544,"Snacks, granola bars, soft, uncoated, raisin","Snacks, Müsliriegel, weich, unbeschichtet, Rosinen"
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","Snacks, Müsliriegel, weich, überzogen, Milchschokoladenüberzug, Schokoladenstückchen"
167546,"Candies, honey-combed, with peanut butter","Bonbons, wabenförmig, mit Erdnussbutter"
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","Snacks, Müsliriegel, weich, überzogen, Milchschokoladenüberzug, Erdnussbutter"
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","Snacks, Müsliriegel, weich, unbeschichtet, Erdnussbutter und Schokoladenstückchen"
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","Snacks, Popcorn, mit Öl gepoppt, Mikrowelle, normaler Geschmack, kein Transfett"
167550,"Snacks, popcorn, cakes","Snacks, Popcorn, Kuchen"
167551,"Snacks, popcorn, caramel-coated, with peanuts","Snacks, Popcorn, mit Karamell überzogen, mit Erdnüssen"
167552,"Snacks, popcorn, caramel-coated, without peanuts","Snacks, Popcorn, mit Karamell überzogen, ohne Erdnüsse"
167553,"Snacks, potato chips, made from dried potatoes, reduced fat","Snacks, Kartoffelchips, hergestellt aus getrockneten Kartoffeln, fettreduziert"
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","Snacks, Kartoffelchips, hergestellt aus getrockneten Kartoffeln, Sauerrahm und Zwiebelgeschmack"
167555,"Snacks, pretzels, hard, plain, salted","Snacks, Brezeln, hart, natur, gesalzen"
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","Snacks, Brezeln, hart, Zuckerguss, Schokoladengeschmack"
167557,"Snacks, rice cakes, brown rice, sesame seed","Snacks, Reiskuchen, brauner Reis, Sesam"
167558,"Snacks, tortilla chips, plain, white corn, salted","Snacks, Tortillachips, natur, weißer Mais, gesalzen"
167559,"Snacks, tortilla chips, nacho cheese","Snacks, Tortillachips, Nachokäse"
167560,"Snacks, tortilla chips, ranch-flavor","Snacks, Tortillachips, Ranch-Geschmack"
167561,"Snacks, trail mix, regular","Snacks, Studentenfutter, normal"
167562,"Candies, ALMOND JOY Candy Bar","Süßigkeiten, ALMOND JOY Schokoriegel"
167563,"Candies, TWIZZLERS CHERRY BITES","Süßigkeiten, TWIZZLERS CHERRY BITES"
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews","Bonbons, NESTLE, BIT-O'-HONEY Kaubonbons"
167565,"Candies, NESTLE, BUTTERFINGER Bar","Süßigkeiten, NESTLE, BUTTERFINGER Bar"
167566,"Candies, caramels, chocolate-flavor roll","Bonbons, Karamellbonbons, Brötchen mit Schokoladengeschmack"
167567,"Baking chocolate, unsweetened, liquid","Backschokolade, ungesüßt, flüssig"
167568,"Baking chocolate, unsweetened, squares","Backschokolade, ungesüßt, quadratisch"
167569,"Candies, confectioner's coating, yogurt","Bonbons, Konditorüberzug, Joghurt"
167570,"Candies, confectioner's coating, peanut butter","Bonbons, Konditorüberzug, Erdnussbutter"
167571,"Candies, white chocolate","Süßigkeiten, weiße Schokolade"
167572,"Ice creams, vanilla, light","Eis, Vanille, leicht"
167573,"Ice creams, vanilla, rich","Eis, Vanille, reichhaltig"
167574,"Desserts, flan, caramel custard, prepared-from-recipe","Desserts, Flan, Karamellpudding, nach Rezept zubereitet"
167575,"Ice creams, vanilla","Eis, Vanille"
167576,"Ice creams, vanilla, light, soft-serve","Eiscreme, Vanille, leicht, Softeis"
167577,"Sherbet, orange","Sorbet, Orange"
167578,"Candies, fudge, peanut butter, prepared-from-recipe","Süßigkeiten, Fudge, Erdnussbutter, nach Rezept zubereitet"
167579,"Candies, fudge, vanilla, prepared-from-recipe","Süßigkeiten, Fudge, Vanille, nach Rezept zubereitet"
167580,"Candies, fudge, vanilla with nuts","Bonbons, Fudge, Vanille mit Nüssen"
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts","Süßigkeiten, NESTLE, GOOBERS Erdnüsse mit Schokoladenüberzug"
167582,"Candies, NESTLE, BABY RUTH Bar","Süßigkeiten, NESTLE, BABY RUTH Bar"
167583,"Candies, TWIZZLERS Strawberry Twists Candy","Süßigkeiten, TWIZZLERS Strawberry Twists Candy"
167584,"Syrups, table blends, pancake, with butter","Sirupe, Tafelmischungen, Pfannkuchen, mit Butter"
167585,"Ice creams, chocolate, light","Eis, Schokolade, Licht"
167586,"Candies, NESTLE, CHUNKY Bar","Süßigkeiten, NESTLE, CHUNKY Bar"
167587,"Candies, milk chocolate","Süßigkeiten, Milchschokolade"
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk","Pudding, Banane, Trockenmischung, Instant, zubereitet mit 2 % Milch"
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk","Pudding, Banane, Trockenmischung, normal, zubereitet mit 2 % Milch"
167590,"Andrea's, Gluten Free Soft Dinner Roll","Andrea's, glutenfreies weiches Abendessenbrötchen"
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free","Crunchmaster, Mehrkorn-Chips, Snack-Cracker, glutenfrei"
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme","Glutino, glutenfreie Kekse, Schokoladen-Vanille-Creme"
167593,"Glutino, Gluten Free Cookies, Vanilla Creme","Glutino, glutenfreie Kekse, Vanillecreme"
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original","Pepperidge Farm, Goldfisch, gebackene Snackcracker, Original"
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan","Pepperidge Farm, Goldfisch, gebackene Snackcracker, Parmesan"
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza","Pepperidge Farm, Goldfisch, gebackene Snackcracker, Pizza"
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread","Rudi's, Glutenfreie Bäckerei, Original Sandwichbrot"
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread","Udi's, glutenfreies, weiches und köstliches weißes Sandwichbrot"
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread","Udi's, glutenfreies, weiches und herzhaftes Vollkornbrot"
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls","Udi's, glutenfreie Vollkornbrötchen"
167601,"Van's, Gluten Free, Totally Original Pancakes","Van's, glutenfreie, völlig originelle Pfannkuchen"
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry","Seetang, kanadischer Anbau EMI-TSUNOMATA, trocken"
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated","Seetang, kanadischer Anbau EMI-TSUNOMATA, rehydriert"
167604,"Potatoes, hash brown, refrigerated, unprepared","Kartoffeln, Rösti, gekühlt, unvorbereitet"
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil","Kartoffeln, Rösti, gekühlt, zubereitet, in Rapsöl gebraten"
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing","Süßkartoffeln, frittiert, gefroren wie verpackt, bei der Verarbeitung mit Salz versetzt"
167607,"Moose, meat, raw (Alaska Native)","Elch, Fleisch, roh (Alaska Native)"
167608,"Mashu roots, raw (Alaska Native)","Mashu-Wurzeln, roh (Alaska Native)"
167609,"Moose, liver, braised (Alaska Native)","Elch, Leber, geschmort (Alaska Native)"
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)","Robbe, bärtig (Oogruk), Fleisch, roh (Alaska Native)"
167611,"Oil, bearded seal (Oogruk) (Alaska Native)","Öl, Bartrobbe (Oogruk) (Eingeborener aus Alaska)"
167612,"Oopah (tunicate), whole animal (Alaska Native)","Oopah (Manteltier), ganzes Tier (Alaska-Ureinwohner)"
167613,"Owl, horned, flesh, raw (Alaska Native)","Eule, gehörnt, Fleisch, roh (Eingeborener aus Alaska)"
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)","Fisch, Lachs, Königslachs, Chinook, geräuchert und in Dosen (Eingeborener aus Alaska)"
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)","Fisch, Lachs, Königslachs, Chinook, geräuchert, eingelegt (Eingeborener aus Alaska)"
167616,"Fish, salmon, king, chinook, liver (Alaska Native)","Fisch, Lachs, Königslachs, Chinook, Leber (Eingeborener aus Alaska)"
167617,"Duck, scoter, white-winged, meat (Alaska Native)","Ente, Trauerente, Weißflügelente, Fleisch (Eingeborener aus Alaska)"
167618,"Sea cucumber, yane (Alaska Native)","Seegurke, Yane (einheimisch aus Alaska)"
167619,"Squirrel, ground, meat (Alaska Native)","Eichhörnchen, gemahlen, Fleisch (Eingeborener aus Alaska)"
167620,"Tea, tundra, herb and laborador combination (Alaska Native)","Kombination aus Tee, Tundra, Kräutern und Laborador (Alaska Native)"
167621,"Walrus, meat, dried (Alaska Native)","Walross, Fleisch, getrocknet (Alaska Native)"
167622,"Deer (venison), sitka, raw (Alaska Native)","Hirsch (Wild), Sitka, roh (Eingeborener aus Alaska)"
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)","Wal, Grönlandwal, Unterhautfett (Speck) (Eingeborener aus Alaska)"
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)","Wal, Grönlandwal, Haut und Unterhautfett (Muktuk) (Ureinwohner Alaskas)"
167625,"Oil, whale, bowhead (Alaska Native)","Öl, Wal, Grönlandwal (Eingeborener aus Alaska)"
167626,"Fish, whitefish, broad, liver (Alaska Native)","Fisch, Felchen, Breitfisch, Leber (Eingeborener aus Alaska)"
167627,"Mush, blue corn with ash (Navajo)","Brei, blauer Mais mit Asche (Navajo)"
167628,"Cornmeal, blue (Navajo)","Maismehl, blau (Navajo)"
167629,"Melon, banana (Navajo)","Melone, Banane (Navajo)"
167630,Chilchen (Red Berry Beverage) (Navajo),Chilchen (Rotbeergetränk) (Navajo)
167631,"Corn, dried (Navajo)","Mais, getrocknet (Navajo)"
167632,"Squash, Indian, cooked, boiled (Navajo)","Kürbis, indisch, gekocht, gekocht (Navajo)"
167633,"Bread, kneel down (Navajo)","Brot, knie nieder (Navajo)"
167634,"Mutton, cooked, roasted (Navajo)","Hammelfleisch, gekocht, gebraten (Navajo)"
167635,"Frybread, made with lard (Navajo)","Frybread, hergestellt mit Schmalz (Navajo)"
167636,Tamales (Navajo),Tamales (Navajo)
167637,"Stew, steamed corn (Navajo)","Eintopf, gedämpfter Mais (Navajo)"
167638,"Fish, halibut, raw, with skin (Alaska Native)","Fisch, Heilbutt, roh, mit Haut (Alaska Native)"
167639,"Fish, salmon, coho (silver), raw (Alaska Native)","Fisch, Lachs, Coho (Silber), roh (Alaska Native)"
167640,"Blueberries, wild, raw (Alaska Native)","Blaubeeren, wild, roh (Alaska Native)"
167641,"Oil, spotted seal (Alaska Native)","Öl, gefleckte Robbe (Eingeborener aus Alaska)"
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)","Fisch, Lachs, rot, aus der Dose, ohne Gräten (Eingeborener aus Alaska)"
167643,"Fish, whitefish, eggs (Alaska Native)","Fisch, Felchen, Eier (aus Alaska stammend)"
167644,"Caribou, rump meat, half dried (Alaska Native)","Karibu, Rumpffleisch, halbgetrocknet (Alaska Native)"
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)","Fisch, Lachs, rot, (Sockeye), konserviert, geräuchert (Alaska Native)"
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)","Fisch, Lachs, rot, (Rotlachs), Bückling (Eingeborener aus Alaska)"
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)","Fisch, Lachs, King, mit Haut, Bückling, (Eingeborener aus Alaska)"
167648,"Fish, sheefish, raw (Alaska Native)","Fisch, Schaffisch, roh (Alaska Native)"
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)","Büffel, Freilandhaltung, Top Round Steak, roh (Shoshone Bannock)"
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)","Robbe, bärtig (Oogruk), Fleisch, teilweise getrocknet (Alaska Native)"
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)","Büffel, Freilandhaltung, Top Round Steak, gekocht (Shoshone Bannock)"
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)","Elch, Freilandhaltung, gebraten, Hirschkopf, roh (Shoshone Bannock)"
167653,"Corn, dried, yellow (Northern Plains Indians)","Mais, getrocknet, gelb (Northern Plains Indians)"
167654,"Smelt, dried (Alaska Native)","Stint, getrocknet (Alaska Native)"
167655,"Frybread, made with lard (Apache)","Frybread, hergestellt mit Schmalz (Apache)"
167656,Corned beef and potatoes in tortilla (Apache),Corned Beef und Kartoffeln in Tortilla (Apache)
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce","ON THE RAND: weicher Taco mit Hackfleisch, Käse und Salat"
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce","Restaurant, mexikanischer, weicher Taco mit Hackfleisch, Käse und Salat"
167659,"Restaurant, Latino, chicken and rice, entree, prepared","Restaurant, Latino, Hühnchen und Reis, Hauptgericht, zubereitet"
167660,"Restaurant, Latino, empanadas, beef, prepared","Restaurant, Latino, Empanadas, Rindfleisch, zubereitet"
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)","Restaurant, Latino, Pupusas con Frijoles (Pupusas, Bohnen)"
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)","Restaurant, Latino, Pupusas con Queso (Pupusas, Käse)"
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)","Restaurant, Latino, Pupusas del Cerdo (Pupusas, Schweinefleisch)"
167664,"Restaurant, Latino, tamale, corn","Restaurant, Latino, Tamale, Mais"
167665,"Restaurant, Mexican, spanish rice","Restaurant, mexikanischer, spanischer Reis"
167666,"Restaurant, Mexican, refried beans","Restaurant, Mexikanisch, gekühlte Bohnen"
167667,"Restaurant, Chinese, egg rolls, assorted","Restaurant, Chinesisch, Eierbrötchen, sortiert"
167668,"Restaurant, Chinese, fried rice, without meat","Restaurant, Chinesisch, gebratener Reis, ohne Fleisch"
167669,"CRACKER BARREL, steak fries","CRACKER BARREL, Steak-Pommes"
167670,"CRACKER BARREL, grilled sirloin steak","CRACKER BARREL, gegrilltes Lendensteak"
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu","CRACKER BARREL, Makkaroni-Käse-Teller, aus der Kinderkarte"
167672,"DENNY'S, french fries","DENNY'S, Pommes Frites"
167673,"DENNY'S, top sirloin steak","DENNY'S, erstklassiges Lendensteak"
167674,"Restaurant, Chinese, lemon chicken","Restaurant, Chinesisch, Zitronenhähnchen"
167675,"Restaurant, Chinese, general tso's chicken","Restaurant, Chinesisch, General Tso's Chicken"
167676,"Restaurant, Chinese, kung pao chicken","Restaurant, Chinesisch, Kung-Pao-Hähnchen"
167677,"Restaurant, Chinese, vegetable lo mein, without meat","Restaurant, Chinesisch, Gemüse lo mein, ohne Fleisch"
167678,"Restaurant, Chinese, chicken and vegetables","Restaurant, Chinesisch, Hühnchen und Gemüse"
167679,"Restaurant, Chinese, orange chicken","Restaurant, Chinesisch, Orangenhähnchen"
167680,"Restaurant, Italian, spaghetti with meat sauce","Restaurant, Italienisch, Spaghetti mit Fleischsoße"
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame","Getränke, Getränk mit Fruchtgeschmack, Trockenpulvermischung, kalorienarm, mit Aspartam"
167682,"Pectin, liquid","Pektin, flüssig"
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated","Gefrorene Neuheiten, Eistyp, Vanilleeis, leicht, ohne Zuckerzusatz, mit Schokolade überzogen"
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie","Cremiges Dressing, hergestellt aus Sauerrahm und/oder Buttermilch und Öl, kalorienreduziert"
167685,"Bologna, beef and pork, low fat","Bologna, Rind- und Schweinefleisch, fettarm"
167686,"Milk dessert, frozen, milk-fat free, chocolate","Milchdessert, gefroren, ohne Milchfett, Schokolade"
167687,"Whipped topping, frozen, low fat","Schlagsahne, gefroren, fettarm"
167688,"Cream substitute, powdered, light","Sahneersatz, gepudert, leicht"
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","Bonbons, MARS SNACKFOOD US, M&M's Erdnussbutter-Schokoladenbonbons"
167690,"Babyfood, apple yogurt dessert, strained","Babynahrung, Apfel-Joghurt-Dessert, abgesiebt"
167691,"Vegetable oil-butter spread, reduced calorie","Pflanzenöl-Butter-Aufstrich, kalorienreduziert"
167692,"Salad dressing, blue or roquefort cheese dressing, light","Salatdressing, Blauschimmelkäse- oder Roquefortkäse-Dressing, leicht"
167693,"Salad dressing, french dressing, reduced calorie","Salatdressing, French Dressing, kalorienreduziert"
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked","Wurst, Truthahn und Schweinefleisch, frisch, lose, als Pastete oder Link, gekocht"
167695,"Mayonnaise, made with tofu","Mayonnaise, hergestellt mit Tofu"
167696,"Frankfurter, beef, low fat","Frankfurter, Rindfleisch, fettarm"
167697,"Milk, buttermilk, fluid, cultured, reduced fat","Milch, Buttermilch, flüssig, kultiviert, fettreduziert"
167698,"Pork sausage rice links, brown and serve, cooked","Schweinswurst-Reisstücke, anbraten und gekocht servieren"
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free","Salatdressing, Blauschimmelkäse- oder Roquefortkäse-Dressing, fettfrei"
167700,"Salad Dressing, mayonnaise-like, fat-free","Salatdressing, mayonnaiseartig, fettfrei"
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar","Süßigkeiten, MARS SNACKFOOD US, MILKY WAY Midnight Bar"
167702,"Oil, flaxseed, cold pressed","Öl, Leinsamen, kaltgepresst"
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced","Käse, Hüttenkäse, fettarm, 1 % Milchfett, laktosereduziert"
167704,"Salad dressing, bacon and tomato","Salatdressing, Speck und Tomate"
167705,"Cheese, parmesan, low sodium","Käse, Parmesan, wenig Natrium"
167706,"Jams, preserves, marmalade, reduced sugar","Konfitüren, Konfitüren, Marmelade, reduzierter Zucker"
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie","Getränke, Getränk mit Fruchtgeschmack, Pulver, mit hohem Vitamin C-Gehalt und anderen zugesetzten Vitaminen, kalorienarm"
167708,"Tomato and vegetable juice, low sodium","Tomaten- und Gemüsesaft, natriumarm"
167709,"Turkey, wing, smoked, cooked, with skin, bone removed","Truthahn, Flügel, geräuchert, gekocht, ohne Haut und ohne Knochen"
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed","Truthahn, Keule, geräuchert, gekocht, ohne Haut und ohne Knochen"
167711,"Beverages, Chocolate-flavored drink, whey and milk based","Getränke, Getränk mit Schokoladengeschmack, auf Molke- und Milchbasis"
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium","Schweinefleisch, gepökelt, Speck, gekocht, gegrillt, in der Pfanne gebraten oder geröstet, reduzierter Natriumgehalt"
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed","Truthahn, helles oder dunkles Fleisch, geräuchert, gekocht, ohne Haut und Knochen"
167714,"Hearts of palm, raw","Palmherzen, roh"
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size","Verzehrfertiges Getreide, POST, geriebener Weizen und Kleie, löffelgroß"
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables","Hüttenkäse, fettarm, 1 % Milchfett, mit Gemüse"
167717,Yeast extract spread,Hefeextrakt-Aufstrich
167718,"Babyfood, juice, pear","Babynahrung, Saft, Birne"
167719,"Chicken, meatless, breaded, fried","Hähnchen, fleischlos, paniert, gebraten"
167720,"Babyfood, meat, beef with vegetables, toddler","Babynahrung, Fleisch, Rindfleisch mit Gemüse, Kleinkind"
167721,"Frozen novelties, juice type, juice with cream","Gefrorene Neuheiten, Safttyp, Saft mit Sahne"
167722,Tofu yogurt,Tofu-Joghurt
167723,"Alcoholic beverage, rice (sake)","Alkoholisches Getränk, Reis (Sake)"
167724,"Millet, puffed","Hirse, gepufft"
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY","Verzehrfertiges Getreide, HAFERKLEIEFLOCKEN, HEALTH VALLEY"
167726,"Babyfood, mixed fruit yogurt, strained","Babynahrung, gemischter Fruchtjoghurt, abgeseiht"
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink","Getränke, ABBOTT, ENSURE PLUS, trinkfertig"
167728,"Babyfood, rice and apples, dry","Babynahrung, Reis und Äpfel, trocken"
167729,"Babyfood, juice, apple - cherry","Babynahrung, Saft, Apfel - Kirsche"
167730,"Milk, imitation, non-soy","Milch, Nachahmung, kein Soja"
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified","Babynahrung, Müsli, Reis mit Birnen und Apfel, trocken, angereichert"
167732,"Babyfood, banana no tapioca, strained","Babynahrung, Banane ohne Tapioka, abgesiebt"
167733,"Babyfood, banana apple dessert, strained","Babynahrung, Bananen-Apfel-Dessert, abgesiebt"
167734,"Breakfast bar, corn flake crust with fruit","Frühstücksbar, Cornflakes-Kruste mit Früchten"
167735,"Cheese, mozzarella, low sodium","Käse, Mozzarella, wenig Natrium"
167736,"Mayonnaise dressing, no cholesterol","Mayonnaise-Dressing, kein Cholesterin"
167737,"Oil, corn, peanut, and olive","Öl, Mais, Erdnuss und Olive"
167738,"Pie fillings, blueberry, canned","Kuchenfüllungen, Blaubeeren, aus der Dose"
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen","Getränke, Cocktailmischung, alkoholfrei, konzentriert, gefroren"
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix","Pudding, Schokoladengeschmack, kalorienarm, normal, Trockenmischung"
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix","Pudding, alle Geschmacksrichtungen außer Schokolade, kalorienarm, normal, Trockenmischung"
167742,"Mollusks, scallop, (bay and sea), cooked, steamed","Weichtiere, Jakobsmuscheln (Bucht und Meer), gekocht, gedämpft"
167743,"Syrup, Cane","Sirup, Zuckerrohr"
167744,"Mollusks, snail, raw","Weichtiere, Schnecken, roh"
167745,"Turtle, green, raw","Schildkröte, grün, roh"
167746,"Lemons, raw, without peel","Zitronen, roh, ohne Schale"
167747,"Lemon juice, raw","Zitronensaft, roh"
167748,"Lemon juice from concentrate, canned or bottled","Zitronensaft aus Konzentrat, aus der Dose oder Flasche"
167749,"Lemon peel, raw","Zitronenschale, roh"
167750,"Prickly pears, raw","Kaktusfeigen, roh"
167751,"Plums, dried (prunes), stewed, without added sugar","Pflaumen, getrocknet (Pflaumen), gedünstet, ohne Zuckerzusatz"
167752,"Plums, dried (prunes), stewed, with added sugar","Pflaumen, getrocknet (Pflaumen), gedünstet, mit Zuckerzusatz"
167753,"Prune juice, canned","Pflaumensaft, aus der Dose"
167754,"Pummelo, raw","Pummelo, roh"
167755,"Raspberries, raw","Himbeeren, roh"
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids","Himbeeren, in Dosen, rot, schwere Siruppackung, Feststoffe und Flüssigkeiten"
167757,"Raspberries, frozen, red, sweetened","Himbeeren, gefroren, rot, gesüßt"
167758,"Rhubarb, raw","Rhabarber, roh"
167759,"Sapodilla, raw","Sapodilla, roh"
167760,"Sapote, mamey, raw","Sapote, Mamey, roh"
167761,"Soursop, raw","Sauerampfer, roh"
167762,"Strawberries, raw","Erdbeeren, roh"
167763,"Tamarinds, raw","Tamarinden, roh"
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids","Obstsalat (Ananas und Papaya sowie Banane und Guave), tropisch, in Dosen, schwerer Sirup, feste und flüssige Zutaten"
167765,"Watermelon, raw","Wassermelone, roh"
167766,"Maraschino cherries, canned, drained","Maraschinokirschen, aus der Dose, abgetropft"
167767,"Pineapple, canned, juice pack, drained","Ananas, aus der Dose, Saftpackung, abgetropft"
167768,"Apricots, canned, heavy syrup, drained","Aprikosen, aus der Dose, starker Sirup, abgetropft"
167769,"Cherries, sour, canned, water pack, drained","Kirschen, sauer, aus der Dose, Wasserpackung, abgetropft"
